"Year","Month","Variable","Site","Tower"
2015,"Sep","Rsp","h08ec",0.05060803806
2016,"Apr","Rsp","h08ec",0.035785519199
2016,"Aug","Rsp","h08ec",0.022974935904
2016,"Feb","Rsp","h08ec",0.033781286585
2016,"Jan","Rsp","h08ec",0.032091743726
2016,"Jul","Rsp","h08ec",0.039777856704
2016,"Jun","Rsp","h08ec",0.083694236904
2016,"Mar","Rsp","h08ec",0.028792807324
2016,"May","Rsp","h08ec",0.066562859808
2016,"Sep","Rsp","h08ec",0.031730549472
2014,"Dec","Rsp","mbsec",0.016156088691
2014,"Nov","Rsp","mbsec",0.032930994745
2014,"Oct","Rsp","mbsec",0.041019603552
2015,"Apr","Rsp","mbsec",0.039775918536
2015,"Aug","Rsp","mbsec",0.077152668048
2015,"Dec","Rsp","mbsec",0.020870070854
2015,"Feb","Rsp","mbsec",0.03080232563
2015,"Jan","Rsp","mbsec",0.024677774591
2015,"Jul","Rsp","mbsec",0.120084880104
2015,"Jun","Rsp","mbsec",0.155305643544
2015,"Mar","Rsp","mbsec",0.034649019432
2015,"May","Rsp","mbsec",0.089890437312
2015,"Nov","Rsp","mbsec",0.028088228519
2015,"Oct","Rsp","mbsec",0.051013101888
2015,"Sep","Rsp","mbsec",0.057206094696
2016,"Apr","Rsp","mbsec",0.04414891824
2016,"Aug","Rsp","mbsec",0.059552808552
2016,"Feb","Rsp","mbsec",0.040509124509
2016,"Jan","Rsp","mbsec",0.034090783026
2016,"Jul","Rsp","mbsec",0.102871125792
2016,"Jun","Rsp","mbsec",0.135311005224
2016,"Mar","Rsp","mbsec",0.040134692377
2016,"May","Rsp","mbsec",0.070627976136
2016,"Sep","Rsp","mbsec",0.037494243792
